Date ; Family ; Family ; Private ; Private

Jan 01 ; Gen 1 ; Matt 1 ; Ezra 1 ; Acts 1
Jan 02 ; Gen 2 ; Matt 2 ; Ezra 2 ; Acts 2
Jan 03 ; Gen 3 ; Matt 3 ; Ezra 3 ; Acts 3
Jan 04 ; Gen 4 ; Matt 4 ; Ezra 4 ; Acts 4
Jan 05 ; Gen 5 ; Matt 5 ; Ezra 5 ; Acts 5
Jan 06 ; Gen 6 ; Matt 6 ; Ezra 6 ; Acts 6
Jan 07 ; Gen 7 ; Matt 7 ; Ezra 7 ; Acts 7
Jan 08 ; Gen 8 ; Matt 8 ; Ezra 8 ; Acts 8
Jan 09 ; Gen 9-10 ; Matt 9 ; Ezra 9 ; Acts 9
Jan 10 ; Gen 11 ; Matt 10 ; Ezra 10 ; Acts 10
Jan 11 ; Gen 12 ; Matt 11 ; Neh 1 ; Acts 11
Jan 12 ; Gen 13 ; Matt 12 ; Neh 2 ; Acts 12
Jan 13 ; Gen 14 ; Matt 13 ; Neh 3 ; Acts 13
Jan 14 ; Gen 15 ; Matt 14 ; Neh 4 ; Acts 14
Jan 15 ; Gen 16 ; Matt 15 ; Neh 5 ; Acts 15
Jan 16 ; Gen 17 ; Matt 16 ; Neh 6 ; Acts 16
Jan 17 ; Gen 18 ; Matt 17 ; Neh 7 ; Acts 17
Jan 18 ; Gen 19 ; Matt 18 ; Neh 8 ; Acts 18
Jan 19 ; Gen 20 ; Matt 19 ; Neh 9 ; Acts 19
Jan 20 ; Gen 21 ; Matt 20 ; Neh 10 ; Acts 20
Jan 21 ; Gen 22 ; Matt 21 ; Neh 11 ; Acts 21
Jan 22 ; Gen 23 ; Matt 22 ; Neh 12 ; Acts 22
Jan 23 ; Gen 24 ; Matt 23 ; Neh 13 ; Acts 23
Jan 24 ; Gen 25 ; Matt 24 ; Est 1 ; Acts 24
Jan 25 ; Gen 26 ; Matt 25 ; Est 2 ; Acts 25
Jan 26 ; Gen 27 ; Matt 26 ; Est 3 ; Acts 26
Jan 27 ; Gen 28 ; Matt 27 ; Est 4 ; Acts 27
Jan 28 ; Gen 29 ; Matt 28 ; Est 5 ; Acts 28
Jan 29 ; Gen 30 ; Mark 1 ; Est 6 ; Rom 1
Jan 30 ; Gen 31 ; Mark 2 ; Est 7 ; Rom 2
Jan 31 ; Gen 32 ; Mark 3 ; Est 8 ; Rom 3
Feb 01 ; Gen 33 ; Mark 4 ; Est 9-10 ; Rom 4
Feb 02 ; Gen 34 ; Mark 5 ; Job 1 ; Rom 5
Feb 03 ; Gen 35-36 ; Mark 6 ; Job 2 ; Rom 6
Feb 04 ; Gen 37 ; Mark 7 ; Job 3 ; Rom 7
Feb 05 ; Gen 38 ; Mark 8 ; Job 4 ; Rom 8
Feb 06 ; Gen 39 ; Mark 9 ; Job 5 ; Rom 9
Feb 07 ; Gen 40 ; Mark 10 ; Job 6 ; Rom 10
Feb 08 ; Gen 41 ; Mark 11 ; Job 7 ; Rom 11
Feb 09 ; Gen 42 ; Mark 12 ; Job 8 ; Rom 12
Feb 10 ; Gen 43 ; Mark 13 ; Job 9 ; Rom 13
Feb 11 ; Gen 44 ; Mark 14 ; Job 10 ; Rom 14
Feb 12 ; Gen 45 ; Mark 15 ; Job 11 ; Rom 15
Feb 13 ; Gen 46 ; Mark 16 ; Job 12 ; Rom 16
Feb 14 ; Gen 47 ; Luke 1:1-38 ; Job 13 ; 1 Cor 1
Feb 15 ; Gen 48 ; Luke 1:39-80 ; Job 14 ; 1 Cor 2
Feb 16 ; Gen 49 ; Luke 2 ; Job 15 ; 1 Cor 3
Feb 17 ; Gen 50 ; Luke 3 ; Job 16-17 ; 1 Cor 4
Feb 18 ; Ex 1 ; Luke 4 ; Job 18 ; 1 Cor 5
Feb 19 ; Ex 2 ; Luke 5 ; Job 19 ; 1 Cor 6
Feb 20 ; Ex 3 ; Luke 6 ; Job 20 ; 1 Cor 7
Feb 21 ; Ex 4 ; Luke 7 ; Job 21 ; 1 Cor 8
Feb 22 ; Ex 5 ; Luke 8 ; Job 22 ; 1 Cor 9
Feb 23 ; Ex 6 ; Luke 9 ; Job 23 ; 1 Cor 10
Feb 24 ; Ex 7 ; Luke 10 ; Job 24 ; 1 Cor 11
Feb 25 ; Ex 8 ; Luke 11 ; Job 25-26 ; 1 Cor 12
Feb 26 ; Ex 9 ; Luke 12 ; Job 27 ; 1 Cor 13
Feb 27 ; Ex 10 ; Luke 13 ; Job 28 ; 1 Cor 14
Feb 28 ; Ex 11:1-12:20 ; Luke 14 ; Job 29 ; 1 Cor 15
Mar 01 ; Ex 12:21-50 ; Luke 15 ; Job 30 ; 1 Cor 16
Mar 02 ; Ex 13 ; Luke 16 ; Job 31 ; 2 Cor 1
Mar 03 ; Ex 14 ; Luke 17 ; Job 32 ; 2 Cor 2
Mar 04 ; Ex 15 ; Luke 18 ; Job 33 ; 2 Cor 3
Mar 05 ; Ex 16 ; Luke 19 ; Job 34 ; 2 Cor 4
Mar 06 ; Ex 17 ; Luke 20 ; Job 35 ; 2 Cor 5
Mar 07 ; Ex 18 ; Luke 21 ; Job 36 ; 2 Cor 6
Mar 08 ; Ex 19 ; Luke 22 ; Job 37 ; 2 Cor 7
Mar 09 ; Ex 20 ; Luke 23 ; Job 38 ; 2 Cor 8
Mar 10 ; Ex 21 ; Luke 24 ; Job 39 ; 2 Cor 9
Mar 11 ; Ex 22 ; John 1 ; Job 40 ; 2 Cor 10
Mar 12 ; Ex 23 ; John 2 ; Job 41 ; 2 Cor 11
Mar 13 ; Ex 24 ; John 3 ; Job 42 ; 2 Cor 12
Mar 14 ; Ex 25 ; John 4 ; Prov 1 ; 2 Cor 13
Mar 15 ; Ex 26 ; John 5 ; Prov 2 ; Gal 1
Mar 16 ; Ex 27 ; John 6 ; Prov 3 ; Gal 2
Mar 17 ; Ex 28 ; John 7 ; Prov 4 ; Gal 3
Mar 18 ; Ex 29 ; John 8 ; Prov 5 ; Gal 4
Mar 19 ; Ex 30 ; John 9 ; Prov 6 ; Gal 5
Mar 20 ; Ex 31 ; John 10 ; Prov 7 ; Gal 6
Mar 21 ; Ex 32 ; John 11 ; Prov 8 ; Eph 1
Mar 22 ; Ex 33 ; John 12 ; Prov 9 ; Eph 2
Mar 23 ; Ex 34 ; John 13 ; Prov 10 ; Eph 3
Mar 24 ; Ex 35 ; John 14 ; Prov 11 ; Eph 4
Mar 25 ; Ex 36 ; John 15 ; Prov 12 ; Eph 5
Mar 26 ; Ex 37 ; John 16 ; Prov 13 ; Eph 6
Mar 27 ; Ex 38 ; John 17 ; Prov 14 ; Phil 1
Mar 28 ; Ex 39 ; John 18 ; Prov 15 ; Phil 2
Mar 29 ; Ex 40 ; John 19 ; Prov 16 ; Phil 3
Mar 30 ; Lev 1 ; John 20 ; Prov 17 ; Phil 4
Mar 31 ; Lev 2-3 ; John 21 ; Prov 18 ; Col 1
Apr 01 ; Lev 4 ; Ps 1-2 ; Prov 19 ; Col 2
Apr 02 ; Lev 5 ; Ps 3-4 ; Prov 20 ; Col 3
Apr 03 ; Lev 6 ; Ps 5-6 ; Prov 21 ; Col 4
Apr 04 ; Lev 7 ; Ps 7-8 ; Prov 22 ; 1 Thess 1
Apr 05 ; Lev 8 ; Ps 9 ; Prov 23 ; 1 Thess 2
Apr 06 ; Lev 9 ; Ps 10 ; Prov 24 ; 1 Thess 3
Apr 07 ; Lev 10 ; Ps 11-12 ; Prov 25 ; 1 Thess 4
Apr 08 ; Lev 11-12 ; Ps 13-14 ; Prov 26 ; 1 Thess 5
Apr 09 ; Lev 13 ; Ps 15-16 ; Prov 27 ; 2 Thess 1
Apr 10 ; Lev 14 ; Ps 17 ; Prov 28 ; 2 Thess 2
Apr 11 ; Lev 15 ; Ps 18 ; Prov 29 ; 2 Thess 3
Apr 12 ; Lev 16 ; Ps 19 ; Prov 30 ; 1 Tim 1
Apr 13 ; Lev 17 ; Ps 20-21 ; Prov 31 ; 1 Tim 2
Apr 14 ; Lev 18 ; Ps 22 ; Eccles 1 ; 1 Tim 3
Apr 15 ; Lev 19 ; Ps 23-24 ; Eccles 2 ; 1 Tim 4
Apr 16 ; Lev 20 ; Ps 25 ; Eccles 3 ; 1 Tim 5
Apr 17 ; Lev 21 ; Ps 26-27 ; Eccles 4 ; 1 Tim 6
Apr 18 ; Lev 22 ; Ps 28-29 ; Eccles 5 ; 2 Tim 1
Apr 19 ; Lev 23 ; Ps 30 ; Eccles 6 ; 2 Tim 2
Apr 20 ; Lev 24 ; Ps 31 ; Eccles 7 ; 2 Tim 3
Apr 21 ; Lev 25 ; Ps 32 ; Eccles 8 ; 2 Tim 4
Apr 22 ; Lev 26 ; Ps 33 ; Eccles 9 ; Titus 1
Apr 23 ; Lev 27 ; Ps 34 ; Eccles 10 ; Titus 2
Apr 24 ; Num 1 ; Ps 35 ; Eccles 11 ; Titus 3
Apr 25 ; Num 2 ; Ps 36 ; Eccles 12 ; Philem
Apr 26 ; Num 3 ; Ps 37 ; Song 1 ; Heb 1
Apr 27 ; Num 4 ; Ps 38 ; Song 2 ; Heb 2
Apr 28 ; Num 5 ; Ps 39 ; Song 3 ; Heb 3
Apr 29 ; Num 6 ; Ps 40-41 ; Song 4 ; Heb 4
Apr 30 ; Num 7 ; Ps 42-43 ; Song 5 ; Heb 5
May 01 ; Num 8 ; Ps 44 ; Song 6 ; Heb 6
May 02 ; Num 9 ; Ps 45 ; Song 7 ; Heb 7
May 03 ; Num 10 ; Ps 46-47 ; Song 8 ; Heb 8
May 04 ; Num 11 ; Ps 48 ; Isa 1 ; Heb 9
May 05 ; Num 12-13 ; Ps 49 ; Isa 2 ; Heb 10
May 06 ; Num 14 ; Ps 50 ; Isa 3-4 ; Heb 11
May 07 ; Num 15 ; Ps 51 ; Isa 5 ; Heb 12
May 08 ; Num 16 ; Ps 52-54 ; Isa 6 ; Heb 13
May 09 ; Num 17-18 ; Ps 55 ; Isa 7 ; James 1
May 10 ; Num 19 ; Ps 56-57 ; Isa 8:1-9:7 ; James 2
May 11 ; Num 20 ; Ps 58-59 ; Isa 9:8-10:4 ; James 3
May 12 ; Num 21 ; Ps 60-61 ; Isa 10:5-34 ; James 4
May 13 ; Num 22 ; Ps 62-63 ; Isa 11-12 ; James 5
May 14 ; Num 23 ; Ps 64-65 ; Isa 13 ; 1 Peter 1
May 15 ; Num 24 ; Ps 66-67 ; Isa 14 ; 1 Peter 2
May 16 ; Num 25 ; Ps 68 ; Isa 15 ; 1 Peter 3
May 17 ; Num 26 ; Ps 69 ; Isa 16 ; 1 Peter 4
May 18 ; Num 27 ; Ps 70-71 ; Isa 17-18 ; 1 Peter 5
May 19 ; Num 28 ; Ps 72 ; Isa 19-20 ; 2 Peter 1
May 20 ; Num 29 ; Ps 73 ; Isa 21 ; 2 Peter 2
May 21 ; Num 30 ; Ps 74 ; Isa 22 ; 2 Peter 3
May 22 ; Num 31 ; Ps 75-76 ; Isa 23 ; 1 John 1
May 23 ; Num 32 ; Ps 77 ; Isa 24 ; 1 John 2
May 24 ; Num 33 ; Ps 78:1-39 ; Isa 25 ; 1 John 3
May 25 ; Num 34 ; Ps 78:40-72 ; Isa 26 ; 1 John 4
May 26 ; Num 35 ; Ps 79 ; Isa 27 ; 1 John 5
May 27 ; Num 36 ; Ps 80 ; Isa 28 ; 2 John
May 28 ; Deut 1 ; Ps 81-82 ; Isa 29 ; 3 John
May 29 ; Deut 2 ; Ps 83-84 ; Isa 30 ; Jude
May 30 ; Deut 3 ; Ps 85 ; Isa 31 ; Rev 1
May 31 ; Deut 4 ; Ps 86-87 ; Isa 32 ; Rev 2
